date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:34:52	38447/38447	---M-Z	200	added ('OK')	text/html	etag:%22962f-5e9e2a9362087-gzip%22	https://soziety.dexignzone.com/xhtml/index.html	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/index.html	(from https://soziety.dexignzone.com/xhtml/login.html)
15:34:52	1664/1664	---M--	200	added ('OK')	image/png	etag:%22680-5e9e2bfb04b44%22	https://soziety.dexignzone.com/xhtml/assets/images/icons/facebook.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/icons/facebook.png	(from https://soziety.dexignzone.com/xhtml/login.html)
15:34:52	1994/1994	---M--	200	added ('OK')	image/png	etag:%227ca-5e9e2bfb05314%22	https://soziety.dexignzone.com/xhtml/assets/images/icons/google.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/icons/google.png	(from https://soziety.dexignzone.com/xhtml/login.html)
15:34:52	11120/11120	---M--	200	added ('OK')	text/css	etag:%222b70-5a3845e615180%22	https://soziety.dexignzone.com/xhtml/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:53	208423/208423	---M--	200	added ('OK')	image/jpeg	etag:%2232e27-5e9e2c0006303%22	https://soziety.dexignzone.com/xhtml/assets/images/login/pic6.jpg	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/login/pic6.jpg	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:53	1281/1281	---M--	200	added ('OK')	image/png	etag:%22501-5e9e2bf7bf4ee%22	https://soziety.dexignzone.com/xhtml/assets/images/flags/australia.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/flags/australia.png	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:53	827/827	---M--	200	added ('OK')	image/png	etag:%2233b-5e9e2bf7bf8d6%22	https://soziety.dexignzone.com/xhtml/assets/images/flags/india.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/flags/india.png	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:53	222/222	---M--	200	added ('OK')	image/png	etag:%22de-5e9e2bf8d3ac6%22	https://soziety.dexignzone.com/xhtml/assets/images/flags/uae.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/flags/uae.png	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:54	1251/1251	---M--	200	added ('OK')	image/png	etag:%224e3-5e9e2bf8d7176%22	https://soziety.dexignzone.com/xhtml/assets/images/flags/us.png	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/images/flags/us.png	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:54	4485/4485	---M-Z	200	added ('OK')	text/html	etag:%221185-5e9e2a97ddbab-gzip%22	https://soziety.dexignzone.com/xhtml/otp-confirm.html	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/otp-confirm.html	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:55	57696/57696	---M--	200	added ('OK')	application/x-javascript	etag:%22e160-5d223a2c41100%22	https://soziety.dexignzone.com/xhtml/assets/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	(from https://soziety.dexignzone.com/xhtml/forgot-password.html)
15:34:55	231/231	---M--	302	error ('Found')	text/html	date:Sun,%2026%20Feb%202023%2010:04:54%20GMT	https://soziety.dexignzone.com/xhtml/e	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/e	(from https://soziety.dexignzone.com/xhtml/assets/vendor/swiper/swiper-bundle.min.js)
15:34:55	231/231	---M--	302	error ('Found')	text/html	date:Sun,%2026%20Feb%202023%2010:04:55%20GMT	https://soziety.dexignzone.com/xhtml/a.params.url	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/a.params.url	(from https://soziety.dexignzone.com/xhtml/assets/vendor/swiper/swiper-bundle.min.js)
15:34:56	104544/104544	---M--	200	added ('OK')	application/font-woff2	etag:%2219860-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-brands-400.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-brands-400.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:57	23900/23900	---M--	200	added ('OK')	application/font-woff2	etag:%225d5c-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-regular-400.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-regular-400.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:57	60380/60380	---M--	200	added ('OK')	application/x-font-ttf	etag:%22ebdc-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-regular-400.ttf	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-regular-400.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:57	126828/126828	---M--	200	added ('OK')	application/font-woff2	etag:%221ef6c-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-solid-900.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-solid-900.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:58	180148/180148	---M--	200	added ('OK')	application/x-font-ttf	etag:%222bfb4-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-brands-400.ttf	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-brands-400.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:58	4956/4956	---M--	200	added ('OK')	application/font-woff2	etag:%22135c-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-v4compatibility.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-v4compatibility.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:58	303480/303480	---M--	200	added ('OK')	application/x-font-ttf	etag:%224a178-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-solid-900.ttf	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-solid-900.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:58	10556/10556	---M--	200	added ('OK')	application/x-font-ttf	etag:%22293c-5d793c06bae00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-v4compatibility.ttf	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/webfonts/fa-v4compatibility.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/fontawesome/css/all.min.css)
15:34:59	10100/10100	---M--	200	added ('OK')	application/x-font-ttf	etag:%222774-5df2fc4b1d900%22	https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.ttf?1dc0d7e59f2ded59220372e89f70f7dc	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon1486.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css)
15:34:59	5832/5832	---M--	200	added ('OK')	application/font-woff	etag:%2216c8-5df2fc4b1d900%22	https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.woff?1dc0d7e59f2ded59220372e89f70f7dc	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon1486.woff	(from https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css)
15:34:59	4848/4848	---M--	200	added ('OK')	application/font-woff2	etag:%2212f0-5df2fc4b1d900%22	https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.woff2?1dc0d7e59f2ded59220372e89f70f7dc	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon1486.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css)
15:34:59	10268/10268	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22281c-5df2fc4b1d900%22	https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.eot?1dc0d7e59f2ded59220372e89f70f7dc	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon1486.eot	(from https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css)
15:35:00	59720/59720	---M--	200	added ('OK')	image/svg+xml	etag:%22e948-5df2fc4b1d900%22	https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.svg?1dc0d7e59f2ded59220372e89f70f7dc	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon1486.svg	(from https://soziety.dexignzone.com/xhtml/assets/vendor/flaticon/flaticon.css)
15:35:00	205760/205760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22323c0-5dfcd48aadc00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/webfonts/uicons-solid-rounded.eot	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/webfonts/uicons-solid-rounded.eot	(from https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/css/uicons-solid-rounded.css)
15:35:00	79996/79996	---M--	200	added ('OK')	application/font-woff2	etag:%221387c-5dfcd48aadc00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/webfonts/uicons-solid-rounded.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/webfonts/uicons-solid-rounded.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/css/uicons-solid-rounded.css)
15:35:01	100824/100824	---M--	200	added ('OK')	application/font-woff	etag:%22189d8-5dfcd48aadc00%22	https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/webfonts/uicons-solid-rounded.woff	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/webfonts/uicons-solid-rounded.woff	(from https://soziety.dexignzone.com/xhtml/assets/vendor/uicons-solid-rounded/css/uicons-solid-rounded.css)
15:35:01	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.eot	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.eot	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:01	156260/156260	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2226264-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.eot?	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400d41d.eot	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:01	84772/84772	---M--	200	added ('OK')	application/font-woff2	etag:%2214b24-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:01	98673/98673	---M--	200	added ('OK')	application/font-woff	etag:%2218171-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.woff	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.woff	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:02	156072/156072	---M--	200	added ('OK')	application/x-font-ttf	etag:%22261a8-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.ttf	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-brands-400.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:02	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22847c-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.eot	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.eot	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:02	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22847c-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.eot?	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400d41d.eot	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:02	12900/12900	---M--	200	added ('OK')	application/font-woff2	etag:%223264-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.woff2	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.woff2	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:02	15489/15489	---M--	200	added ('OK')	application/font-woff	etag:%223c81-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.woff	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.woff	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
15:35:03	33724/33724	---M--	200	added ('OK')	application/x-font-ttf	etag:%2283bc-596bbc4103300%22	https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.ttf	C:/Users/SUSIM%20&%20PUTU/Desktop/ss/socel2/soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/fonts/la-regular-400.ttf	(from https://soziety.dexignzone.com/xhtml/assets/vendor/line-awesome/css/line-awesome.min.css)
